"","dates","prob.c","prob.p","prob.r","max"
"40",2020-09-11,16.6567601830313,16.6647438887696,16.6647438887696,14
"41",2020-09-12,12.9633914843797,12.9700373301762,12.9700373301762,8
"42",2020-09-13,10.0041073818779,10.0102074456159,10.0102074456159,8
"43",2020-09-14,7.89758684273865,11.9026401369022,7.90264013690217,14
"44",2020-09-15,6.4321283113238,15.0128674914588,10.4364399763318,14
"45",2020-09-16,5.32161400439989,15.5785202489695,10.8107135554444,14
"46",2020-09-17,4.524906363182,15.812307735365,9.94589474143706,14
"47",2020-09-18,3.89028408288931,17.5136734739142,12.0279739142929,14
"48",2020-09-19,3.43085407892678,13.8734794788032,9.86386200175016,8
"49",2020-09-20,3.05486129081599,10.7006175223278,7.73760091183063,8
"50",2020-09-21,2.75625105904765,12.4012049416052,9.14832768261149,14
"51",2020-09-22,2.48246676911123,16.2467354970556,9.60839227157133,14
"52",2020-09-23,2.26397208896633,18.2686349665149,11.8782406376726,14
"53",2020-09-24,2.04980348587117,14.610778232038,9.76846977682193,14
"54",2020-09-25,1.8477480375694,23.3221905576662,16.7540646011375,14
"55",2020-09-26,1.67134863066632,18.7803983063791,13.5274209641517,8
"56",2020-09-27,1.51519216464744,14.0204946443388,10.0694994089845,8
"57",2020-09-28,1.38125342601767,15.5315624947914,12.5176172052655,14
"58",2020-09-29,1.24887282386996,15.2581581708898,12.874741592765,14
"59",2020-09-30,1.14886532001061,13.4952204889897,11.594827103057,14
"60",2020-10-01,1.04468027923126,15.2161504337669,10.6278337132653,14
"61",2020-10-02,0.944860344208682,19.9183237161434,15.9820272064105,14
"62",2020-10-03,0.862206292337371,15.6182635959788,12.4710158736161,8
"63",2020-10-04,0.791059012595639,11.5048713283676,9.01418262901027,8
"64",2020-10-05,0.710077207382613,12.6092160896235,9.57157204690502,14
"65",2020-10-06,0.627252050223661,11.9881908399226,9.46051651750753,14
"66",2020-10-07,0.563700159048392,10.4233934809451,8.32602980417232,14
"67",2020-10-08,0.511799999434587,9.27005253008743,7.54032610558086,14
"68",2020-10-09,0.453325637913245,8.42187910881558,6.9480523436017,14
"69",2020-10-10,0.410687841879945,6.78774098755928,5.53498703314596,8
"70",2020-10-11,0.37483038710889,5.45293513801473,4.35307801571576,8
"71",2020-10-12,0.340363243046132,6.47904274680815,5.50793847304156,14
"72",2020-10-13,0.298270036450366,8.42475187179292,7.54687754300006,14
"73",2020-10-14,0.264093063589592,6.92217364113271,6.12714469231112,14
"74",2020-10-15,0.236042155141768,5.43877239101545,4.71046549250033,14
"75",2020-10-16,0.214067805328916,9.31451594123324,8.6578176367353,14
